,Price,Distance,Bathroom,Car,Landsize,BuildingArea
2,1035000.0,2.5,1.0,0.0,156.0,79.0
4,1465000.0,2.5,2.0,0.0,134.0,150.0
6,1600000.0,2.5,1.0,2.0,120.0,142.0
11,1876000.0,2.5,2.0,0.0,245.0,210.0
14,1636000.0,2.5,1.0,2.0,256.0,107.0
18,1097000.0,2.5,1.0,2.0,220.0,75.0
24,1350000.0,2.5,2.0,2.0,214.0,190.0
30,1310000.0,2.5,1.0,2.0,238.0,97.0
32,1200000.0,2.5,2.0,1.0,113.0,110.0
35,1176500.0,2.5,1.0,1.0,138.0,105.0
37,890000.0,2.5,1.0,1.0,150.0,73.0
38,1330000.0,2.5,2.0,2.0,780.0,135.0
43,1100000.0,2.5,2.0,1.0,124.0,135.0
44,1315000.0,2.5,1.0,0.0,147.0,85.0
49,1447500.0,2.5,3.0,1.0,166.0,174.0
56,1290000.0,2.5,1.0,1.0,168.0,124.0
58,1180000.0,2.5,1.0,0.0,162.0,91.0
59,1195000.0,2.5,2.0,1.0,120.0,128.0
61,1012500.0,2.5,1.0,0.0,182.0,82.0
63,1030000.0,2.5,1.0,1.0,172.0,81.0
66,840000.0,13.5,2.0,1.0,303.0,225.0
70,603000.0,13.5,1.0,1.0,272.0,84.0
71,700000.0,13.5,2.0,2.0,239.0,134.0
72,600000.0,13.5,1.0,1.0,290.0,116.0
73,500000.0,13.5,1.0,1.0,168.0,86.0
82,450000.0,13.5,1.0,1.0,110.0,90.0
83,515000.0,13.5,1.0,1.0,141.0,73.0
85,530000.0,13.5,1.0,1.0,120.0,94.0
86,895000.0,13.5,1.0,6.0,1063.0,133.0
90,752000.0,13.5,1.0,1.0,265.0,130.0
98,700000.0,13.5,2.0,2.0,165.0,133.0
100,830000.0,13.5,1.0,2.0,971.0,113.0
103,675000.0,13.5,1.0,1.0,612.0,100.0
104,1042000.0,13.5,2.0,5.0,612.0,174.0
106,773000.0,13.5,3.0,4.0,531.0,309.0
108,810000.0,13.5,3.0,2.0,555.0,192.0
109,715000.0,13.5,2.0,2.0,422.0,126.0
112,540000.0,13.5,2.0,1.0,161.0,101.0
113,825000.0,13.5,2.0,1.0,293.0,102.0
114,685000.0,13.5,1.0,1.0,579.0,113.0
129,900000.0,13.5,2.0,3.0,628.0,146.0
133,1275000.0,3.3,1.0,0.0,120.0,82.0
135,2850000.0,3.3,2.0,0.0,211.0,198.0
136,1850000.0,3.3,2.0,0.0,128.0,133.0
138,1436000.0,3.3,1.0,0.0,130.0,81.0
142,2300000.0,3.3,2.0,1.0,153.0,180.0
145,1800000.0,3.3,2.0,1.0,132.0,159.0
147,2120000.0,3.3,1.0,1.0,199.0,107.0
152,2615000.0,3.3,2.0,1.0,177.0,181.0
159,1322500.0,3.3,1.0,0.0,149.0,98.0
161,1562500.0,3.3,1.0,0.0,141.0,83.0
162,2000000.0,3.3,2.0,1.0,211.0,147.0
166,3010000.0,3.3,2.0,0.0,147.0,146.0
168,2800000.0,3.3,3.0,1.0,327.0,254.0
172,2100000.0,3.3,1.0,1.0,120.0,123.0
176,2000000.0,3.3,1.0,1.0,238.0,131.0
178,4735000.0,3.3,2.0,1.0,330.0,207.0
183,2140000.0,3.3,2.0,1.0,183.0,145.0
191,1740000.0,3.3,2.0,2.0,147.0,134.0
195,2000000.0,6.4,2.0,4.0,853.0,263.0
201,1717500.0,6.4,2.0,1.0,599.0,203.0
202,2840000.0,6.4,4.0,4.0,809.0,165.0
205,805000.0,6.4,2.0,3.0,155.0,140.0
214,1830000.0,6.4,2.0,2.0,606.0,112.0
215,2100000.0,6.4,2.0,2.0,575.0,271.0
216,865000.0,6.4,1.0,1.0,180.0,131.0
226,1900000.0,6.4,2.0,2.0,556.0,272.0
229,1950000.0,6.4,2.0,3.0,589.0,210.0
230,520000.0,13.8,2.0,1.0,352.0,242.0
231,1525000.0,13.8,3.0,3.0,729.0,268.0
232,720000.0,13.8,1.0,2.0,292.0,125.0
233,1120000.0,13.8,1.0,2.0,506.0,120.0
